distance,option,m_prop_best,m_prop_worst,ci_lower_best,ci_lower_worst,ci_upper_best,ci_upper_worst
2,c,0.41920615395927213,0.35329398019630043,0.4098603504912096,0.34434670090526476,0.42855195742733465,0.3622412594873361
2,d,0.23842630544243745,0.3789942945291473,0.2309388972345975,0.3701052559592752,0.2459137136502774,0.3878833330990194
2,t,0.3423675405982904,0.2677117252745523,0.3347831760134852,0.2605736069017983,0.3499519051830956,0.27484984364730625
5,c,0.44292479427397063,0.3071211495970775,0.43370677997210055,0.29776756954632067,0.4521428085758407,0.3164747296478343
5,d,0.17604060980533515,0.4736794326063791,0.16816650884418158,0.46222638261301596,0.18391471076648871,0.4851324825997423
5,t,0.38151167074401493,0.2191994177965434,0.37296029511496076,0.21132804121932436,0.3900630463730691,0.22707079437376243
9,c,0.4608961931909769,0.2434712123532439,0.45186574592066636,0.23340929992302273,0.46992664046128746,0.25353312478346507
9,d,0.11365934317953884,0.6056679840991755,0.10647884015928384,0.590760480862082,0.12083984619979384,0.6205754873362691
9,t,0.43037278203293305,0.15193235793861537,0.42081207486534694,0.143584773669737,0.43993348920051917,0.16027994220749375
14,c,0.4759875245025962,0.1716619304250985,0.467395428354713,0.1618484621550314,0.4845796206504794,0.1814753986951656
14,d,0.08442393111436687,0.7276253594329303,0.07716781320673718,0.7117981616234663,0.09168004902199656,0.7434525572423942
14,t,0.45697667111661927,0.11248905235062981,0.44763945786786213,0.10437335317937911,0.4663138843653764,0.12060475152188051
